Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.37     41.03     0.18                             Link::getCost() const
  0.37     41.21     0.18                             std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.37     41.39     0.18                             std::_Rb_tree_const_iterator<std::pair<int const, Link*> >::operator++()
  0.37     41.57     0.18                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::end()
  0.37     41.75     0.18                             std::enable_if<std::allocator_traits<std::allocator<int> >::__construct_helper<int<int const&> >::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.35     41.92     0.17                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_value(std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > const*)
  0.35     42.09     0.17                             std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.32     42.25     0.16                             std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.32     42.40     0.16                             void std::_Destroy<int*>(int*, int*)
  0.29     42.54     0.14                             std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >::begin()
  0.29     42.68     0.14                             std::move_iterator<int*>::base() const
  0.29     42.82     0.14                             std::enable_if<std::allocator_traits<std::allocator<int> >::__maxsize_helper<std::allocator<int> const>::value, unsigned long>::type std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const>(std::allocator<int> const&)
  0.29     42.96     0.14                             std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.27     43.09     0.13                             std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> const* std::__addressof<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> const>(std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> const&)
  0.26     43.22     0.13                             int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.25     43.34     0.12                             std::_Rb_tree_const_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >::operator!=(std::_Rb_tree_const_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > const&) const
  0.25     43.46     0.12                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::end() const
  0.23     43.57     0.11                             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.23     43.68     0.11                             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.23     43.79     0.11                             std::pair<int const, Link*> const* std::__addressof<std::pair<int const, Link*> const>(std::pair<int const, Link*> const&)
  0.23     43.90     0.11                             int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.23     44.01     0.11                             int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.23     44.12     0.11                             void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.21     44.22     0.10                             std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::find(int const&) const
  0.21     44.32     0.10                             std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.20     44.41     0.10                             std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.20     44.51     0.10                             std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.19     44.60     0.09                             LinkListIterator::LinkListIterator(std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > > const*, int const&)
