Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.02     47.96     0.01                             std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::begin()
  0.02     47.97     0.01                             std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<double const, Flow> >*&, std::_Rb_tree_node<std::pair<double const, Flow> >*&, void>(std::_Rb_tree_node<std::pair<double const, Flow> >*&, std::_Rb_tree_node<std::pair<double const, Flow> >*&)
  0.02     47.98     0.01                             std::pair<double, Flow>::pair<double, Flow, void>(double&&, Flow&&)
  0.02     47.99     0.01                             void std::deque<int, std::allocator<int> >::_M_range_insert_aux<std::_Deque_iterator<int, int const&, int const*> >(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int const&, int const*>, std::forward_iterator_tag)
  0.02     48.00     0.01                             std::deque<int, std::allocator<int> >::swap(std::deque<int, std::allocator<int> >&)
  0.02     48.01     0.01                             double* std::vector<double, std::allocator<double> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(unsigned long, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.02     48.02     0.01                             std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.02     48.03     0.01                             std::vector<int, std::allocator<int> >::at(unsigned long)
  0.02     48.04     0.01                             std::_Rb_tree<double, std::pair<double const, Flow>, std::_Select1st<std::pair<double const, Flow> >, std::less<double>, std::allocator<std::pair<double const, Flow> > >::end()
  0.02     48.05     0.01                             std::_Rb_tree<double, std::pair<double const, Flow>, std::_Select1st<std::pair<double const, Flow> >, std::less<double>, std::allocator<std::pair<double const, Flow> > >::_M_end()
  0.02     48.06     0.01                             std::_Rb_tree<double, std::pair<double const, Flow>, std::_Select1st<std::pair<double const, Flow> >, std::less<double>, std::allocator<std::pair<double const, Flow> > >::_S_value(std::_Rb_tree_node<std::pair<double const, Flow> > const*)
  0.02     48.07     0.01                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.02     48.08     0.01                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_M_begin()
  0.02     48.09     0.01                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_S_right(std::_Rb_tree_node_base*)
  0.02     48.10     0.01                             std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >* std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_create_node<std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >(std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>&&)
  0.02     48.11     0.01                             std::pair<std::_Rb_tree_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, bool> std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_insert_unique<std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >(std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>&&)
  0.02     48.12     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_get_insert_unique_pos(int const&)
  0.02     48.13     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_left(std::_Rb_tree_node_base*)
  0.02     48.14     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_begin()
  0.02     48.15     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >*)
  0.02     48.16     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_right(std::_Rb_tree_node_base*)
  0.02     48.17     0.01                             std::_Rb_tree_iterator<std::pair<int const, double> > std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int&&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, double> >, std::piecewise_construct_t const&, std::tuple<int&&>&&, std::tuple<>&&)
  0.02     48.18     0.01                             __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.02     48.19     0.01                             std::_Deque_iterator<int, int&, int*> std::__copy_move_a2<false, std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*>)
  0.02     48.20     0.01                             std::_Deque_iterator<int, int&, int*> std::__copy_move_a2<true, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>)
  0.02     48.21     0.01                             void std::__do_alloc_on_copy<std::allocator<double> >(std::allocator<double>&, std::allocator<double> const&, std::integral_constant<bool, false>)
  0.02     48.22     0.01                             double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.01     48.23     0.01                             double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.01     48.23     0.01                             std::_Rb_tree<std::string, std::pair<std::string const, std::vector<double, std::allocator<double> > >, std::_Select1st<std::pair<std::string const, std::vector<double, std::allocator<double> > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::vector<double, std::allocator<double> > > > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::vector<double, std::allocator<double> > > >*)
  0.01     48.24     0.01                             std::_Rb_tree<std::string, std::pair<std::string const, std::vector<double, std::allocator<double> > >, std::_Select1st<std::pair<std::string const, std::vector<double, std::allocator<double> > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::vector<double, std::allocator<double> > > > >::begin()
  0.01     48.24     0.01                             std::_Rb_tree_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_insert_<std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>&&)
  0.01     48.25     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::lower_bound(int const&)
  0.01     48.25     0.01                             std::_Deque_iterator<int, int&, int*> std::copy<std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*>)
